,Unnamed: 0,TIMESTAMP,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
0,5762,1/05/2014 0:00,24.76,23110,7.77,83.6,6.41,12.8,5.2
4,5766,1/05/2014 2:00,24.69,18010,7.76,83.0,6.49,9.6,5.7
8,5770,1/05/2014 4:00,24.59,12430,7.69,81.1,6.49,12.2,6.4
12,5774,1/05/2014 6:00,24.4,7945,7.62,78.2,6.37,15.8,7.1
16,5778,1/05/2014 8:00,24.3,6004,7.58,76.4,6.28,15.8,7.8
20,5782,1/05/2014 10:00,24.55,7917,7.61,79.2,6.43,13.8,7.5
24,5786,1/05/2014 12:00,24.88,13930,7.69,82.2,6.5,11.5,6.4
28,5790,1/05/2014 14:00,25.33,10540,7.71,85.8,6.81,11.3,7.4
32,5794,1/05/2014 16:00,25.32,7420,7.7,86.2,6.92,13.2,7.9
36,5798,1/05/2014 18:00,25.27,5353,7.67,85.4,6.91,14.2,8.6
40,5802,1/05/2014 20:00,25.07,4525,7.6,81.0,6.59,14.7,9.3
44,5806,1/05/2014 22:00,24.94,7409,7.63,81.2,6.56,15.2,7.1
48,5810,2/05/2014 0:00,25.03,18400,7.72,82.6,6.41,15.7,6.2
52,5814,2/05/2014 2:00,24.97,19520,7.74,81.7,6.32,9.4,5.2
56,5818,2/05/2014 4:00,24.85,13820,7.69,80.5,6.38,10.9,5.9
60,5822,2/05/2014 6:00,24.68,9191,7.63,78.1,6.31,13.5,7.2
64,5826,2/05/2014 8:00,24.57,6711,7.58,76.3,6.23,14.9,7.9
68,5830,2/05/2014 10:00,24.75,6841,7.59,78.4,6.37,13.5,7.5
72,5834,2/05/2014 12:00,25.15,11950,7.67,82.1,6.51,12.5,6.4
76,5838,2/05/2014 14:00,25.51,11450,7.71,85.6,6.76,10.6,7.6
80,5842,2/05/2014 16:00,25.57,8509,7.71,87.0,6.93,12.0,7.8
84,5846,2/05/2014 18:00,25.47,5916,7.68,86.1,6.92,13.1,8.5
88,5850,2/05/2014 20:00,25.19,4881,7.63,82.3,6.68,14.0,8.8
92,5854,2/05/2014 22:00,25.05,6902,7.62,81.1,6.55,14.3,8.3
96,5858,3/05/2014 0:00,25.18,15160,7.69,82.2,6.44,14.1,6.0
100,5862,3/05/2014 2:00,25.07,23310,7.72,79.7,6.07,9.6,5.0
104,5866,3/05/2014 4:00,24.95,16210,7.71,80.4,6.3,9.4,5.6
108,5870,3/05/2014 6:00,24.61,11040,7.65,78.5,6.31,11.6,6.0
112,5874,3/05/2014 8:00,24.33,7897,7.62,77.1,6.29,13.5,7.2
116,5878,3/05/2014 10:00,24.24,6469,7.61,78.4,6.44,14.0,7.9
120,5882,3/05/2014 12:00,24.42,8690,7.66,82.3,6.69,12.6,6.9
124,5886,3/05/2014 14:00,24.6,11010,7.73,85.9,6.9,10.8,6.5
128,5890,3/05/2014 16:00,24.65,7780,7.75,88.2,7.16,12.4,8.2
132,5894,3/05/2014 18:00,24.3,5849,7.77,89.2,7.34,13.7,8.9
136,5898,3/05/2014 20:00,24.02,4905,7.7,84.6,7.02,13.6,9.7
140,5902,3/05/2014 22:00,23.84,5236,7.67,82.5,6.86,13.9,9.2
144,5906,4/05/2014 0:00,23.71,10110,7.69,81.7,6.69,13.0,6.6
148,5910,4/05/2014 2:00,23.66,19000,7.73,80.1,6.36,10.4,5.2
152,5914,4/05/2014 4:00,23.33,14430,7.74,80.7,6.55,9.1,6.1
156,5918,4/05/2014 6:00,23.09,10950,7.69,79.0,6.53,11.4,6.0
160,5922,4/05/2014 8:00,22.68,7954,7.67,77.7,6.54,12.8,6.5
164,5926,4/05/2014 10:00,22.85,6289,7.67,80.2,6.77,13.9,7.5
168,5930,4/05/2014 12:00,23.35,6683,7.71,83.4,6.96,12.7,7.2
172,5934,4/05/2014 14:00,23.65,9643,7.78,89.4,7.34,10.8,6.6
176,5938,4/05/2014 16:00,23.69,7427,7.84,92.5,7.65,13.2,8.2
180,5942,4/05/2014 18:00,23.48,6030,7.88,94.8,7.91,14.1,8.6
184,5946,4/05/2014 20:00,22.98,4877,7.82,90.2,7.63,13.9,9.3
188,5950,4/05/2014 22:00,22.67,4743,7.69,84.1,7.15,14.2,10.2
192,5954,5/05/2014 0:00,22.18,7261,7.75,84.1,7.16,13.6,7.7
196,5958,5/05/2014 2:00,22.31,14550,7.78,84.0,6.96,10.5,5.0
200,5962,5/05/2014 4:00,22.18,15140,7.78,83.0,6.87,9.3,4.8
204,5966,5/05/2014 6:00,21.74,11650,7.77,82.1,6.95,10.1,5.1
208,5970,5/05/2014 8:00,21.32,8305,7.74,80.5,6.94,12.0,6.6
212,5974,5/05/2014 10:00,21.63,6747,7.75,83.0,7.16,13.1,7.1
216,5978,5/05/2014 12:00,22.48,6059,7.76,87.0,7.4,13.3,7.2
220,5982,5/05/2014 14:00,23.22,8450,7.88,96.5,8.02,11.3,6.9
224,5986,5/05/2014 16:00,23.21,8866,7.89,96.6,8.02,10.9,7.9
228,5990,5/05/2014 18:00,22.79,6870,7.91,95.5,8.05,12.6,7.9
232,5994,5/05/2014 20:00,22.74,5695,7.91,95.6,8.1,13.3,9.6
236,5998,5/05/2014 22:00,22.16,4725,7.86,91.9,7.89,12.5,9.2
240,6002,6/05/2014 0:00,22.04,6310,7.82,89.3,7.65,12.1,8.2
244,6006,6/05/2014 2:00,21.75,11540,7.8,86.5,7.31,10.2,5.7
248,6010,6/05/2014 4:00,21.54,18510,7.78,81.3,6.73,8.0,5.5
252,6014,6/05/2014 6:00,21.25,13360,7.8,83.5,7.08,8.7,5.0
256,6018,6/05/2014 8:00,21.12,10360,7.78,82.7,7.1,10.2,6.2
