,TIMESTAMP,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
5762,1/05/2014 0:00,24.76,23110,7.77,83.6,6.41,12.8,5.2
5763,1/05/2014 0:30,24.73,24550,7.78,82.8,6.32,11.4,5.1
5764,1/05/2014 1:00,24.76,20960,7.77,83.2,6.43,9.3,5.6
5765,1/05/2014 1:30,24.72,20160,7.78,83.3,6.46,8.9,5.1
5766,1/05/2014 2:00,24.69,18010,7.76,83,6.49,9.6,5.7
5767,1/05/2014 2:30,24.7,16880,7.75,82.9,6.51,9.8,5.5
5768,1/05/2014 3:00,24.66,15410,7.72,82.4,6.51,10.4,5.5
5769,1/05/2014 3:30,24.63,13920,7.71,81.6,6.49,11.1,6.3
5770,1/05/2014 4:00,24.59,12430,7.69,81.1,6.49,12.2,6.4
5771,1/05/2014 4:30,24.51,11010,7.67,80.4,6.47,12.9,6.9
5772,1/05/2014 5:00,24.48,9890,7.65,79.7,6.44,14.3,6.7
5773,1/05/2014 5:30,24.43,8857,7.64,78.8,6.4,15.2,7.8
5774,1/05/2014 6:00,24.4,7945,7.62,78.2,6.37,15.8,7.1
5775,1/05/2014 6:30,24.34,7321,7.61,77.7,6.35,14.6,7.3
5776,1/05/2014 7:00,24.29,6704,7.6,77.3,6.34,14.2,7.3
5777,1/05/2014 7:30,24.32,6443,7.59,76.7,6.29,16,7.7
5778,1/05/2014 8:00,24.3,6004,7.58,76.4,6.28,15.8,7.8
5779,1/05/2014 8:30,24.32,5885,7.57,75.5,6.21,15.2,7.5
5780,1/05/2014 9:00,24.36,6425,7.57,77,6.31,15.3,8.4
5781,1/05/2014 9:30,24.43,6668,7.59,77.7,6.36,14.3,7.3
5782,1/05/2014 10:00,24.55,7917,7.61,79.2,6.43,13.8,7.5
5783,1/05/2014 10:30,24.78,9240,7.65,81,6.52,12.6,6.6
5784,1/05/2014 11:00,24.81,11060,7.65,81.4,6.52,13,6.6
5785,1/05/2014 11:30,24.94,12430,7.68,82.3,6.54,12.4,6.7
5786,1/05/2014 12:00,24.88,13930,7.69,82.2,6.5,11.5,6.4
5787,1/05/2014 12:30,24.89,14430,7.68,82.2,6.49,10.3,7.5
5788,1/05/2014 13:00,25.27,11740,7.7,83.2,6.58,10.6,6.4
5789,1/05/2014 13:30,25.35,11470,7.71,85.6,6.78,10.7,6.9
5790,1/05/2014 14:00,25.33,10540,7.71,85.8,6.81,11.3,7.4
5791,1/05/2014 14:30,25.37,9813,7.7,86,6.84,11.3,7.2
5792,1/05/2014 15:00,25.39,8992,7.72,86.9,6.93,11.8,7.6
5793,1/05/2014 15:30,25.31,8296,7.7,85.9,6.88,12.9,8.4
5794,1/05/2014 16:00,25.32,7420,7.7,86.2,6.92,13.2,7.9
5795,1/05/2014 16:30,25.33,6656,7.69,86.4,6.95,13.5,7.6
5796,1/05/2014 17:00,25.37,6167,7.7,86.9,7,14.2,8.5
5797,1/05/2014 17:30,25.34,5688,7.69,86.4,6.97,14.3,8.5
5798,1/05/2014 18:00,25.27,5353,7.67,85.4,6.91,14.2,8.6
5799,1/05/2014 18:30,25.22,5081,7.65,84.2,6.82,14.5,8.9
5800,1/05/2014 19:00,25.17,4701,7.64,83.5,6.78,14,9
5801,1/05/2014 19:30,25.09,4506,7.63,82.7,6.73,14.1,8.5
5802,1/05/2014 20:00,25.07,4525,7.6,81,6.59,14.7,9.3
5803,1/05/2014 20:30,25,4631,7.6,80.2,6.53,14.2,8.8
5804,1/05/2014 21:00,25.02,5177,7.61,81.7,6.64,14,8
5805,1/05/2014 21:30,24.98,6343,7.62,81.1,6.57,14.5,7.6
5806,1/05/2014 22:00,24.94,7409,7.63,81.2,6.56,15.2,7.1
5807,1/05/2014 22:30,24.96,9491,7.65,82,6.58,15.7,7
5808,1/05/2014 23:00,25.02,12100,7.68,83.2,6.61,14.9,6.6
5809,1/05/2014 23:30,25.06,14750,7.7,83.1,6.54,16.4,6.2
5810,2/05/2014 0:00,25.03,18400,7.72,82.6,6.41,15.7,6.2
5811,2/05/2014 0:30,24.99,21220,7.74,82.1,6.31,13.8,5.4
5812,2/05/2014 1:00,24.95,22540,7.74,81.4,6.23,11.7,5.8
5813,2/05/2014 1:30,24.95,23220,7.75,81.3,6.21,10.8,4.6
5814,2/05/2014 2:00,24.97,19520,7.74,81.7,6.32,9.4,5.2
5815,2/05/2014 2:30,24.89,17330,7.73,81.7,6.38,9.3,5.4
5816,2/05/2014 3:00,24.92,16510,7.72,81.3,6.37,9.7,5.8
5817,2/05/2014 3:30,24.88,15150,7.71,81.1,6.39,10.2,5.7
5818,2/05/2014 4:00,24.85,13820,7.69,80.5,6.38,10.9,5.9
5819,2/05/2014 4:30,24.81,12390,7.67,79.9,6.37,11.8,5.9
5820,2/05/2014 5:00,24.77,11170,7.65,79.3,6.35,12.7,6.1
5821,2/05/2014 5:30,24.7,10060,7.64,78.6,6.33,12.4,6.3
5822,2/05/2014 6:00,24.68,9191,7.63,78.1,6.31,13.5,7.2
5823,2/05/2014 6:30,24.65,8347,7.61,77.5,6.28,14.5,6.8
5824,2/05/2014 7:00,24.62,7631,7.6,77.1,6.27,15.1,7.4
5825,2/05/2014 7:30,24.59,7106,7.59,76.8,6.25,14.8,7
5826,2/05/2014 8:00,24.57,6711,7.58,76.3,6.23,14.9,7.9
5827,2/05/2014 8:30,24.57,6390,7.58,76.3,6.23,14.7,7.4
5828,2/05/2014 9:00,24.61,6159,7.55,76.4,6.24,14.4,7
5829,2/05/2014 9:30,24.67,6571,7.57,77.1,6.28,14.2,7.3
5830,2/05/2014 10:00,24.75,6841,7.59,78.4,6.37,13.5,7.5
5831,2/05/2014 10:30,24.92,7613,7.62,80.1,6.47,12.7,7.3
5832,2/05/2014 11:00,25.03,9188,7.64,81.8,6.56,12.8,7.2
5833,2/05/2014 11:30,25.18,10350,7.66,82.8,6.59,12.5,6.5
5834,2/05/2014 12:00,25.15,11950,7.67,82.1,6.51,12.5,6.4
5835,2/05/2014 12:30,25.23,13000,7.69,82.9,6.54,11.5,6.2
5836,2/05/2014 13:00,25.34,13670,7.69,82.7,6.49,11.4,6.5
5837,2/05/2014 13:30,25.38,13310,7.7,83.7,6.57,10.4,6.3
5838,2/05/2014 14:00,25.51,11450,7.71,85.6,6.76,10.6,7.6
5839,2/05/2014 14:30,25.61,10830,7.72,86.8,6.85,11.1,7.6
5840,2/05/2014 15:00,25.6,9733,7.72,87,6.89,11.6,7.5
5841,2/05/2014 15:30,25.52,9262,7.71,87,6.91,11.3,7.2
5842,2/05/2014 16:00,25.57,8509,7.71,87,6.93,12,7.8
5843,2/05/2014 16:30,25.52,7788,7.7,86.5,6.91,12.6,7.6
5844,2/05/2014 17:00,25.5,7018,7.69,86.2,6.91,12.9,8.1
5845,2/05/2014 17:30,25.48,6411,7.69,86.3,6.93,13,8.6
5846,2/05/2014 18:00,25.47,5916,7.68,86.1,6.92,13.1,8.5
5847,2/05/2014 18:30,25.37,5602,7.67,85.2,6.87,13.4,9.3
5848,2/05/2014 19:00,25.3,5264,7.66,84.2,6.81,13.6,9.5
5849,2/05/2014 19:30,25.25,5031,7.65,83.3,6.75,13.7,9
5850,2/05/2014 20:00,25.19,4881,7.63,82.3,6.68,14,8.8
5851,2/05/2014 20:30,25.11,4843,7.61,81.3,6.61,14.2,9.2
5852,2/05/2014 21:00,25.14,5451,7.61,81.1,6.57,14.9,8.9
5853,2/05/2014 21:30,25.11,5613,7.62,81.8,6.63,13.7,8.9
5854,2/05/2014 22:00,25.05,6902,7.62,81.1,6.55,14.3,8.3
5855,2/05/2014 22:30,25.02,7893,7.64,81.4,6.56,13.6,7.9
5856,2/05/2014 23:00,25.03,9883,7.65,81.6,6.53,13.5,7.1
5857,2/05/2014 23:30,25.12,12500,7.67,82.4,6.52,13.2,6.3
5858,3/05/2014 0:00,25.18,15160,7.69,82.2,6.44,14.1,6
5859,3/05/2014 0:30,25.19,17550,7.71,81.6,6.34,14.3,5.2
5860,3/05/2014 1:00,25.14,20800,7.72,80.9,6.22,12.9,5.4
5861,3/05/2014 1:30,25.07,22930,7.73,80.2,6.12,9.7,5.1
5862,3/05/2014 2:00,25.07,23310,7.72,79.7,6.07,9.6,5
5863,3/05/2014 2:30,25.12,19750,7.73,80.6,6.22,8.8,4.7
5864,3/05/2014 3:00,25.05,19020,7.73,80.5,6.23,8.8,5.1
5865,3/05/2014 3:30,25.03,17230,7.71,80.5,6.27,9.2,6.1
5866,3/05/2014 4:00,24.95,16210,7.71,80.4,6.3,9.4,5.6
5867,3/05/2014 4:30,24.85,14940,7.69,80,6.31,9.9,5.3
5868,3/05/2014 5:00,24.78,13520,7.68,79.5,6.31,10.8,5.8
5869,3/05/2014 5:30,24.71,12160,7.67,79,6.31,11.7,6.5
5870,3/05/2014 6:00,24.61,11040,7.65,78.5,6.31,11.6,6
5871,3/05/2014 6:30,24.53,10170,7.64,78.3,6.32,12.4,6
5872,3/05/2014 7:00,24.46,9264,7.63,77.7,6.3,13,7
5873,3/05/2014 7:30,24.38,8410,7.62,77.3,6.29,13.2,6.6
5874,3/05/2014 8:00,24.33,7897,7.62,77.1,6.29,13.5,7.2
5875,3/05/2014 8:30,24.28,7361,7.61,77.1,6.31,13.8,7.6
5876,3/05/2014 9:00,24.29,6927,7.62,77.8,6.37,13.3,6.9
5877,3/05/2014 9:30,24.25,6617,7.62,78.3,6.43,13.4,8.4
5878,3/05/2014 10:00,24.24,6469,7.61,78.4,6.44,14,7.9
5879,3/05/2014 10:30,24.35,6930,7.61,78,6.38,14.1,7.2
5880,3/05/2014 11:00,24.33,6857,7.64,79.7,6.52,12.8,7.6
5881,3/05/2014 11:30,24.38,7392,7.64,80.9,6.61,12.4,7.6
5882,3/05/2014 12:00,24.42,8690,7.66,82.3,6.69,12.6,6.9
5883,3/05/2014 12:30,24.39,9561,7.71,85.2,6.9,12.1,6.4
5884,3/05/2014 13:00,24.52,10770,7.71,85.3,6.87,11.5,6
5885,3/05/2014 13:30,24.54,11290,7.73,85.2,6.84,10.8,6.5
5886,3/05/2014 14:00,24.6,11010,7.73,85.9,6.9,10.8,6.5
5887,3/05/2014 14:30,24.69,9664,7.73,85.4,6.88,11.2,7.7
5888,3/05/2014 15:00,24.61,9409,7.75,87.7,7.09,11.6,6.7
5889,3/05/2014 15:30,24.68,8166,7.76,87.7,7.11,12.7,7
5890,3/05/2014 16:00,24.65,7780,7.75,88.2,7.16,12.4,8.2
5891,3/05/2014 16:30,24.6,7488,7.75,88.1,7.16,12.5,8.4
5892,3/05/2014 17:00,24.54,6946,7.76,88.7,7.24,13.2,8.3
5893,3/05/2014 17:30,24.42,6362,7.76,89,7.29,13.3,8.4
5894,3/05/2014 18:00,24.3,5849,7.77,89.2,7.34,13.7,8.9
5895,3/05/2014 18:30,24.28,5573,7.75,88.1,7.25,13.8,9.4
5896,3/05/2014 19:00,24.21,5315,7.75,88.1,7.26,13.7,9.3
5897,3/05/2014 19:30,24.11,5067,7.74,86.6,7.17,13.5,9.6
5898,3/05/2014 20:00,24.02,4905,7.7,84.6,7.02,13.6,9.7
5899,3/05/2014 20:30,24,4746,7.68,83,6.89,14.1,9.7
5900,3/05/2014 21:00,23.92,4641,7.66,82.2,6.83,13.9,9.2
5901,3/05/2014 21:30,23.85,4832,7.65,81.1,6.74,14.2,9.9
5902,3/05/2014 22:00,23.84,5236,7.67,82.5,6.86,13.9,9.2
5903,3/05/2014 22:30,23.88,6172,7.68,83.4,6.91,13.4,8.3
5904,3/05/2014 23:00,23.66,7173,7.68,82.1,6.8,15,7.8
5905,3/05/2014 23:30,23.61,8029,7.68,81.4,6.73,12.9,6.5
5906,4/05/2014 0:00,23.71,10110,7.69,81.7,6.69,13,6.6
5907,4/05/2014 0:30,23.81,12530,7.71,82.4,6.68,12.4,6.4
