,Unnamed: 0,TIMESTAMP,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
0,4863,1/11/2013 0:00,26.85,47420,7.97,99.8,6.71,4.3,3.5
3,4866,1/11/2013 1:30,26.77,45180,7.94,94.9,6.45,4.6,3.5
6,4869,1/11/2013 3:00,26.75,43310,7.9,90.9,6.22,4.8,3.4
9,4872,1/11/2013 4:30,26.73,41980,7.87,87.9,6.05,4.3,3.6
12,4875,1/11/2013 6:00,26.66,42290,7.87,87.6,6.03,4,3
15,4878,1/11/2013 7:30,26.09,46470,7.92,90.9,6.21,5.2,3.6
18,4881,1/11/2013 9:00,25.99,49540,7.95,94.5,6.39,5,3.1
21,4884,1/11/2013 10:30,26.04,49220,7.97,97.2,6.57,3.4,2.6
24,4887,1/11/2013 12:00,26.36,47780,7.97,100.7,6.82,4.2,3
27,4890,1/11/2013 13:30,26.72,46070,7.97,104.9,7.1,4.5,3.2
30,4893,1/11/2013 15:00,27.19,44090,7.97,107.4,7.28,5,3.1
33,4896,1/11/2013 16:30,27.43,42410,7.96,108.9,7.4,5,3.2
36,4899,1/11/2013 18:00,27.11,42920,7.95,106,7.23,4.5,4
39,4902,1/11/2013 19:30,26.43,46960,7.99,105.4,7.15,5.9,3.7
42,4905,1/11/2013 21:00,26.1,49760,8,104.2,7.02,5.6,3
45,4908,1/11/2013 22:30,26.06,49260,8,103,6.97,4.4,3
48,4911,2/11/2013 0:00,26.02,47730,7.98,100.4,6.83,4.2,3
51,4914,2/11/2013 1:30,25.92,45630,7.95,95.8,6.59,4.4,3
54,4917,2/11/2013 3:00,25.96,43760,7.91,92,6.37,4.7,3.7
57,4920,2/11/2013 4:30,25.93,42220,7.89,89.3,6.22,4.4,3.2
60,4923,2/11/2013 6:00,25.81,41540,7.86,78,5.47,4.6,2.9
63,4926,2/11/2013 7:30,25.39,44530,7.91,89.4,6.23,5,3.3
66,4929,2/11/2013 9:00,25.42,48920,7.96,95.6,6.54,6,3
69,4932,2/11/2013 10:30,25.44,50550,7.98,98.1,6.66,4,2.2
72,4935,2/11/2013 12:00,26.21,48690,7.99,103.6,7,4.2,2.5
75,4938,2/11/2013 13:30,26.73,47270,7.99,107.7,7.26,4.6,2.1
78,4941,2/11/2013 15:00,27.04,45060,7.98,108.6,7.35,5,2.9
81,4944,2/11/2013 16:30,27.18,43220,7.96,108.6,7.39,4.8,3.1
84,4947,2/11/2013 18:00,27.04,42170,7.94,104.2,7.13,4.8,3.1
87,4950,2/11/2013 19:30,26.57,44420,7.94,101.4,6.93,5.2,3.5
90,4953,2/11/2013 21:00,26.53,48500,7.99,105.7,7.11,6.5,3.2
93,4956,2/11/2013 22:30,26.23,49790,7.99,101.5,6.83,4.3,3.6
96,4959,3/11/2013 0:00,26.18,47630,7.98,101.1,6.86,4,3.1
99,4962,3/11/2013 1:30,26.05,46140,7.95,96.7,6.62,4.7,2.7
102,4965,3/11/2013 3:00,25.89,44030,7.91,92,6.37,4.2,2.8
105,4968,3/11/2013 4:30,25.8,42460,7.88,89.4,6.24,4.3,2.9
108,4971,3/11/2013 6:00,25.67,41370,7.86,87.2,6.12,4.4,3.6
111,4974,3/11/2013 7:30,25.71,42790,7.88,88,6.14,5.1,3.5
114,4977,3/11/2013 9:00,25.77,47410,7.94,95.4,6.53,6.5,2.3
117,4980,3/11/2013 10:30,25.83,50410,7.96,98.1,6.62,5.6,2.2
120,4983,3/11/2013 12:00,26.34,49760,7.98,102.4,6.87,4.3,2.8
123,4986,3/11/2013 13:30,27.06,48150,7.98,107.7,7.19,4.1,2.8
126,4989,3/11/2013 15:00,27.38,46220,7.98,110.1,7.38,4.6,3
129,4992,3/11/2013 16:30,27.54,44270,7.96,109.9,7.39,4.7,3.3
132,4995,3/11/2013 18:00,27.3,42660,7.94,106.4,7.24,4.9,3.4
135,4998,3/11/2013 19:30,27.02,42970,7.91,100.7,6.88,5.4,3.2
138,5001,3/11/2013 21:00,26.75,46420,7.95,101.8,6.88,5.4,3.4
141,5004,3/11/2013 22:30,26.6,49310,7.97,103.5,6.93,5.3,3
144,5007,4/11/2013 0:00,26.54,48300,7.97,101.8,6.86,4,3.2
147,5010,4/11/2013 1:30,26.4,46700,7.94,97,6.59,3.8,2.9
150,5013,4/11/2013 3:00,26.23,44390,7.9,91.7,6.31,3.9,3.2
153,5016,4/11/2013 4:30,26.15,43020,7.87,88.9,6.15,3.9,3
156,5019,4/11/2013 6:00,25.99,41680,7.85,86.4,6.03,4.4,3.5
159,5022,4/11/2013 7:30,26.07,41680,7.84,86,6,4.7,3
162,5025,4/11/2013 9:00,26.07,45490,7.9,92.7,6.36,5.7,2.8
165,5028,4/11/2013 10:30,26.24,50120,7.95,97.7,6.56,7.7,3.2
168,5031,4/11/2013 12:00,26.55,51270,7.97,100.6,6.69,5.5,2.2
171,5034,4/11/2013 13:30,27.22,49270,7.98,106.5,7.06,5.1,2.4
174,5037,4/11/2013 15:00,27.73,47950,7.99,112,7.4,5.3,2.9
177,5040,4/11/2013 16:30,27.81,46010,7.96,110.2,7.33,5.6,3.5
180,5043,4/11/2013 18:00,27.81,43990,7.94,107.4,7.2,5.7,4
183,5046,4/11/2013 19:30,27.62,42910,7.91,102.3,6.91,5.7,3.2
186,5049,4/11/2013 21:00,27.36,44400,7.91,100.1,6.76,5.7,3.4
189,5052,4/11/2013 22:30,27.03,47850,7.96,101.9,6.82,6.8,3.4
192,5055,5/11/2013 0:00,26.9,48970,7.96,101.6,6.78,5,3.8
195,5058,5/11/2013 1:30,26.61,46930,7.93,96.7,6.54,4.8,3
198,5061,5/11/2013 3:00,26.53,45610,7.91,93.1,6.34,4.7,2.4
201,5064,5/11/2013 4:30,26.43,43470,7.86,89,6.12,4.2,3.2
204,5067,5/11/2013 6:00,26.35,42180,7.84,86.8,6.01,5,3.5
207,5070,5/11/2013 7:30,26.3,41270,7.82,84.9,5.91,5.5,3.9
210,5073,5/11/2013 9:00,26.09,43680,7.86,89.1,6.16,6.4,3.4
213,5076,5/11/2013 10:30,26.16,47840,7.93,96,6.52,8.7,2.9
216,5079,5/11/2013 12:00,25.99,51650,7.95,97.2,6.51,8.3,3.8
219,5082,5/11/2013 13:30,26.42,50790,7.96,100.8,6.73,4.8,2.2
222,5085,5/11/2013 15:00,26.46,49660,7.97,103.5,6.94,5.8,3.7
225,5088,5/11/2013 16:30,26.53,47820,7.96,103.6,6.99,6.1,3.8
228,5091,5/11/2013 18:00,26.45,45560,7.94,102.4,6.98,5.8,4.2
231,5094,5/11/2013 19:30,26.23,43960,7.91,98.7,6.8,5.6,4
234,5097,5/11/2013 21:00,26.05,43780,7.88,94.1,6.51,6.2,3.8
237,5100,5/11/2013 22:30,25.75,46380,7.91,95.1,6.54,7,3.2
240,5103,6/11/2013 0:00,25.51,49290,7.95,96.2,6.56,7.4,3.4
243,5106,6/11/2013 1:30,25.3,48080,7.93,93.9,6.46,5.3,3.5
246,5109,6/11/2013 3:00,25.27,46360,7.9,90.9,6.3,4.6,3
249,5112,6/11/2013 4:30,25.29,44250,7.86,87,6.08,4.6,3.5
252,5115,6/11/2013 6:00,25.1,42540,7.83,84.4,5.96,4.5,3.4
255,5118,6/11/2013 7:30,25.18,41610,7.81,83.4,5.9,5.1,3.7
258,5121,6/11/2013 9:00,25.38,41790,7.83,86.8,6.12,5.2,2.9
261,5124,6/11/2013 10:30,25.4,46090,7.91,96.1,6.66,7.9,3.3
264,5127,6/11/2013 12:00,25.46,50580,7.95,97.7,6.64,11.5,3.5
267,5130,6/11/2013 13:30,25.57,51980,7.97,100.6,6.78,7.4,2.1
270,5133,6/11/2013 15:00,26.01,50670,7.98,104.2,7.01,5.4,2.7
273,5136,6/11/2013 16:30,26.17,49070,7.97,105.6,7.13,6.8,3.8
276,5139,6/11/2013 18:00,26.16,46650,7.96,105.6,7.21,5.7,4
279,5142,6/11/2013 19:30,26.16,44780,7.92,102.5,7.04,6.1,3.3
282,5145,6/11/2013 21:00,25.95,43630,7.89,97.3,6.75,5.7,3.9
285,5148,6/11/2013 22:30,25.75,44620,7.89,96.3,6.67,4.9,3.3
288,5151,7/11/2013 0:00,25.24,47930,7.92,95.9,6.61,6.9,3.4
291,5154,7/11/2013 1:30,25.04,48920,7.93,95.4,6.57,6.6,3.8
294,5157,7/11/2013 3:00,25.05,46410,7.9,92.3,6.42,4.8,3.3
297,5160,7/11/2013 4:30,25.09,45040,7.87,89.4,6.25,5,4
300,5163,7/11/2013 6:00,24.89,43110,7.83,85.8,6.07,4.9,3.7
303,5166,7/11/2013 7:30,24.94,42160,7.82,85.2,6.04,5.6,2.9
306,5169,7/11/2013 9:00,25.31,41400,7.81,85.9,6.07,6.7,2.7
309,5172,7/11/2013 10:30,25.87,43750,7.87,95.5,6.63,7,2.3
312,5175,7/11/2013 12:00,25.55,48160,7.93,98.8,6.77,9.4,3.3
315,5178,7/11/2013 13:30,25.63,51850,7.96,101,6.8,8.2,3.2
318,5181,7/11/2013 15:00,26.09,51050,7.97,104,6.98,4.8,3.5
321,5184,7/11/2013 16:30,26.25,49900,7.97,106.6,7.17,6.1,3.6
324,5187,7/11/2013 18:00,26.28,47900,7.95,105.6,7.15,6.2,3
327,5190,7/11/2013 19:30,26.27,45600,7.93,102.8,7.03,5.4,3
330,5193,7/11/2013 21:00,26.23,44020,7.89,98.9,6.81,5.4,3.9
333,5196,7/11/2013 22:30,26.11,43220,7.83,93.9,6.5,6,4.2
336,5199,8/11/2013 0:00,25.81,44980,7.88,94.4,6.52,5.7,3.6
339,5202,8/11/2013 1:30,25.29,47780,7.9,94.3,6.5,5.7,3.6
342,5205,8/11/2013 3:00,25.12,46360,7.89,92.5,6.43,4.3,2.8
345,5208,8/11/2013 4:30,25.28,44980,7.86,89.9,6.27,4.6,3.3
348,5211,8/11/2013 6:00,25.16,43400,7.83,86.2,6.06,4.9,3
351,5214,8/11/2013 7:30,25.13,42010,7.8,84.7,5.99,5.1,3.7
354,5217,8/11/2013 9:00,25.49,41180,7.8,87.9,6.2,6.2,3
357,5220,8/11/2013 10:30,25.98,41340,7.81,91.6,6.4,5.8,2.2
360,5223,8/11/2013 12:00,26.6,44780,7.9,103.4,7.06,7.6,2.8
363,5226,8/11/2013 13:30,26.16,48940,7.94,103.4,6.99,9.5,3.2
366,5229,8/11/2013 15:00,26.38,51270,7.95,105.3,7.02,7,3.2
369,5232,8/11/2013 16:30,26.53,49950,7.96,108.4,7.25,6.1,3.9
372,5235,8/11/2013 18:00,26.56,48250,7.95,107.3,7.22,6.6,3.7
375,5238,8/11/2013 19:30,26.54,46150,7.92,103.7,7.04,6.2,3.3
378,5241,8/11/2013 21:00,26.51,44180,7.88,100.4,6.88,5.5,3.5
381,5244,8/11/2013 22:30,26.45,43100,7.84,95.5,6.58,5.6,3.5
384,5247,9/11/2013 0:00,26.27,42610,7.69,91.3,6.32,7.9,3.7
387,5250,9/11/2013 1:30,25.84,44710,7.85,92.8,6.42,6.1,3.1
390,5253,9/11/2013 3:00,25.44,46980,7.87,93.2,6.42,6.6,3.2
393,5256,9/11/2013 4:30,25.29,45100,7.85,90.7,6.32,5,3
396,5259,9/11/2013 6:00,25.49,43800,7.82,88.1,6.15,5.4,3.3
399,5262,9/11/2013 7:30,25.34,42340,7.8,85,5.98,5.9,3.6
402,5265,9/11/2013 9:00,25.81,41250,7.79,87.2,6.11,7.7,2.5
405,5268,9/11/2013 10:30,26.53,40600,7.78,92.9,6.46,9.2,2.9
408,5271,9/11/2013 12:00,27.07,41850,7.82,96.6,6.62,6.8,2.9
411,5274,9/11/2013 13:30,27.12,45340,7.9,105.3,7.11,8.7,3.2
414,5277,9/11/2013 15:00,26.75,49290,7.94,105.5,7.05,9.2,3.9
417,5280,9/11/2013 16:30,26.84,50930,7.94,106.8,7.08,7.6,3.5
420,5283,9/11/2013 18:00,26.7,48800,7.93,106.3,7.12,6,3.7
423,5286,9/11/2013 19:30,26.62,47260,7.91,102.8,6.94,5.8,2.8
426,5289,9/11/2013 21:00,26.91,45300,7.88,99.7,6.75,6.6,3.2
429,5292,9/11/2013 22:30,26.92,43770,7.84,96,6.54,5.6,2.8
432,5295,10/11/2013 0:00,26.75,42660,7.8,92.5,6.35,6.3,3.1
435,5298,10/11/2013 1:30,26.66,42890,7.77,91,6.25,7.4,3.1
438,5301,10/11/2013 3:00,26.14,44910,7.83,91.1,6.26,6.2,2.7
441,5304,10/11/2013 4:30,25.64,46180,7.73,89.2,6.15,6.3,2.5
444,5307,10/11/2013 6:00,25.77,44600,7.82,88,6.09,5.3,2.2
447,5310,10/11/2013 7:30,26.13,43410,7.79,86.7,6,5.7,1.7
450,5313,10/11/2013 9:00,26.25,41950,7.77,86.4,6,6.2,2.2
453,5316,10/11/2013 10:30,26.9,40870,7.76,90.9,6.27,5.5,2.3
456,5319,10/11/2013 12:00,27.79,40340,7.74,96.9,6.6,8,2.5
459,5322,10/11/2013 13:30,28.26,42320,7.82,100.4,6.73,6,2
462,5325,10/11/2013 15:00,27.89,45530,7.88,104.4,6.95,8.8,1.9
465,5328,10/11/2013 16:30,27.34,49000,7.91,103.4,6.85,10.6,3.6
